Mod:Item:MetaData, Localized Name
ExtraTiC:toughbind:104, Electrum Tough Binding
ExtraTiC:toughbind:105, Platinum Tough Binding
ExtraTiC:toughbind:106, Silver Tough Binding
ExtraTiC:toughbind:107, Amordrine Tough Binding
ExtraTiC:toughbind:108, Ceruclase Tough Binding
ExtraTiC:toughbind:109, Ignatius Tough Binding
ExtraTiC:toughbind:110, Inolashite Tough Binding
ExtraTiC:toughbind:111, Kalendrite Tough Binding
ExtraTiC:toughbind:112, Midasium Tough Binding
ExtraTiC:toughbind:113, Sanguinite Tough Binding
ExtraTiC:toughbind:114, Shadow Iron Tough Binding
ExtraTiC:toughbind:115, Shadow Steel Tough Binding
ExtraTiC:toughbind:116, Vulcanite Tough Binding
ExtraTiC:toughbind:117, Vyroxeres Tough Binding
ExtraTiC:toughbind:118, Adamantine Tough Binding
ExtraTiC:toughbind:119, Astral Silver Tough Binding
ExtraTiC:toughbind:120, Atlarus Tough Binding
ExtraTiC:toughbind:121, Black Steel Tough Binding
ExtraTiC:toughbind:122, Carmot Tough Binding
ExtraTiC:toughbind:123, Celenegil Tough Binding
ExtraTiC:toughbind:124, Deep Iron Tough Binding
ExtraTiC:toughbind:125, Haderoth Tough Binding
ExtraTiC:toughbind:126, Mithril Tough Binding
ExtraTiC:toughbind:127, Orichalcum Tough Binding
ExtraTiC:toughrod:128, Oureclase Tough Rod
ExtraTiC:toughrod:129, Prometheum Tough Rod
ExtraTiC:toughrod:130, Quicksilver Tough Rod
ExtraTiC:toughrod:131, Tartarite Tough Rod
ExtraTiC:toughrod:132, Desichalkos Tough Rod
ExtraTiC:toughrod:133, Eximite Tough Rod
ExtraTiC:toughrod:143, Certus Quartz Tough Rod
ExtraTiC:toughrod:160, Fiery Tough Rod
ExtraTiC:toughrod:161, Ironwood Tough Rod
ExtraTiC:toughrod:162, KnightMetal Tough Rod
ExtraTiC:toughrod:163, Steelleaf Tough Rod
ExtraTiC:toughrod:164, Amethyst Tough Rod
ExtraTiC:toughrod:165, Peridot Tough Rod
ExtraTiC:toughrod:166, Ruby Tough Rod
ExtraTiC:toughrod:167, Sapphire Tough Rod
ExtraTiC:toughrod:170, Jade Tough Rod
ExtraTiC:toughrod:171, Dark Steel Tough Rod
ExtraTiC:toughrod:180, Glue Tough Rod
ExtraTiC:toughrod:181, Yellorium Tough Rod
ExtraTiC:toughrod:182, Cyanite Tough Rod
ExtraTiC:toughrod:183, Blutonium Tough Rod
ExtraTiC:toughrod:184, Ludicrite Tough Rod
ExtraTiC:toughrod:185, Bedrockium Tough Rod
ExtraTiC:toughrod:189, Enderium Tough Rod
ExtraTiC:toughrod:190, Signalum Tough Rod
ExtraTiC:toughrod:191, Lumium Tough Rod
ExtraTiC:toughrod:2000, Constantan Tough Rod
ExtraTiC:toughrod:100, Angmallen Tough Rod
ExtraTiC:toughrod:101, Damascus Steel Tough Rod
ExtraTiC:toughrod:102, Hepatizon Tough Rod
ExtraTiC:toughrod:103, Brass Tough Rod
ExtraTiC:toughrod:104, Electrum Tough Rod
ExtraTiC:toughrod:105, Platinum Tough Rod
ExtraTiC:toughrod:106, Silver Tough Rod
ExtraTiC:toughrod:107, Amordrine Tough Rod
ExtraTiC:toughrod:108, Ceruclase Tough Rod
ExtraTiC:toughrod:109, Ignatius Tough Rod
ExtraTiC:toughrod:110, Inolashite Tough Rod
ExtraTiC:toughrod:111, Kalendrite Tough Rod
ExtraTiC:toughrod:112, Midasium Tough Rod
ExtraTiC:toughrod:113, Sanguinite Tough Rod
ExtraTiC:toughrod:114, Shadow Iron Tough Rod
ExtraTiC:toughrod:115, Shadow Steel Tough Rod
ExtraTiC:toughrod:116, Vulcanite Tough Rod
ExtraTiC:toughrod:117, Vyroxeres Tough Rod
ExtraTiC:toughrod:118, Adamantine Tough Rod
ExtraTiC:toughrod:119, Astral Silver Tough Rod
ExtraTiC:toughrod:120, Atlarus Tough Rod
ExtraTiC:toughrod:121, Black Steel Tough Rod
ExtraTiC:toughrod:122, Carmot Tough Rod
ExtraTiC:toughrod:123, Celenegil Tough Rod
ExtraTiC:toughrod:124, Deep Iron Tough Rod
ExtraTiC:toughrod:125, Haderoth Tough Rod
ExtraTiC:toughrod:126, Mithril Tough Rod
ExtraTiC:toughrod:127, Orichalcum Tough Rod
ExtraTiC:shuriken:128, Oureclase Shuriken
ExtraTiC:shuriken:129, Prometheum Shuriken
ExtraTiC:shuriken:130, Quicksilver Shuriken
ExtraTiC:shuriken:131, Tartarite Shuriken
ExtraTiC:shuriken:132, Desichalkos Shuriken
ExtraTiC:shuriken:133, Eximite Shuriken
ExtraTiC:shuriken:143, Certus Quartz Shuriken
ExtraTiC:shuriken:160, Fiery Shuriken
ExtraTiC:shuriken:161, Ironwood Shuriken
ExtraTiC:shuriken:162, KnightMetal Shuriken
ExtraTiC:shuriken:163, Steelleaf Shuriken
ExtraTiC:shuriken:164, Amethyst Shuriken
ExtraTiC:shuriken:165, Peridot Shuriken
ExtraTiC:shuriken:166, Ruby Shuriken
ExtraTiC:shuriken:167, Sapphire Shuriken
ExtraTiC:shuriken:170, Jade Shuriken
ExtraTiC:shuriken:171, Dark Steel Shuriken
ExtraTiC:shuriken:180, Glue Shuriken
ExtraTiC:shuriken:181, Yellorium Shuriken
ExtraTiC:shuriken:182, Cyanite Shuriken
ExtraTiC:shuriken:183, Blutonium Shuriken
ExtraTiC:shuriken:184, Ludicrite Shuriken
ExtraTiC:shuriken:185, Bedrockium Shuriken
ExtraTiC:shuriken:189, Enderium Shuriken
ExtraTiC:shuriken:190, Signalum Shuriken
ExtraTiC:shuriken:191, Lumium Shuriken
ExtraTiC:shuriken:2000, Constantan Shuriken
ExtraTiC:shuriken:100, Angmallen Shuriken
ExtraTiC:shuriken:101, Damascus Steel Shuriken
ExtraTiC:shuriken:102, Hepatizon Shuriken
ExtraTiC:shuriken:103, Brass Shuriken
ExtraTiC:shuriken:104, Electrum Shuriken
ExtraTiC:shuriken:105, Platinum Shuriken
ExtraTiC:shuriken:106, Silver Shuriken
ExtraTiC:shuriken:107, Amordrine Shuriken
ExtraTiC:shuriken:108, Ceruclase Shuriken
ExtraTiC:shuriken:109, Ignatius Shuriken
ExtraTiC:shuriken:110, Inolashite Shuriken
ExtraTiC:shuriken:111, Kalendrite Shuriken
ExtraTiC:shuriken:112, Midasium Shuriken
ExtraTiC:shuriken:113, Sanguinite Shuriken
ExtraTiC:shuriken:114, Shadow Iron Shuriken
ExtraTiC:shuriken:115, Shadow Steel Shuriken
ExtraTiC:shuriken:116, Vulcanite Shuriken
ExtraTiC:shuriken:117, Vyroxeres Shuriken
ExtraTiC:shuriken:118, Adamantine Shuriken
ExtraTiC:shuriken:119, Astral Silver Shuriken
ExtraTiC:shuriken:120, Atlarus Shuriken
ExtraTiC:shuriken:121, Black Steel Shuriken
ExtraTiC:shuriken:122, Carmot Shuriken
ExtraTiC:shuriken:123, Celenegil Shuriken
ExtraTiC:shuriken:124, Deep Iron Shuriken
ExtraTiC:shuriken:125, Haderoth Shuriken
ExtraTiC:shuriken:126, Mithril Shuriken
ExtraTiC:shuriken:127, Orichalcum Shuriken
ExtraTiC:BowLimb:128, Oureclase Bow Limb
ExtraTiC:BowLimb:129, Prometheum Bow Limb
ExtraTiC:BowLimb:130, Quicksilver Bow Limb
ExtraTiC:BowLimb:131, Tartarite Bow Limb
ExtraTiC:BowLimb:132, Desichalkos Bow Limb
ExtraTiC:BowLimb:133, Eximite Bow Limb
ExtraTiC:BowLimb:143, Certus Quartz Bow Limb
ExtraTiC:BowLimb:160, Fiery Bow Limb
ExtraTiC:BowLimb:161, Ironwood Bow Limb
ExtraTiC:BowLimb:162, KnightMetal Bow Limb
ExtraTiC:BowLimb:163, Steelleaf Bow Limb
ExtraTiC:BowLimb:164, Amethyst Bow Limb
ExtraTiC:BowLimb:165, Peridot Bow Limb
ExtraTiC:BowLimb:166, Ruby Bow Limb
ExtraTiC:BowLimb:167, Sapphire Bow Limb
ExtraTiC:BowLimb:170, Jade Bow Limb
ExtraTiC:BowLimb:171, Dark Steel Bow Limb
ExtraTiC:BowLimb:180, Glue Bow Limb
ExtraTiC:BowLimb:181, Yellorium Bow Limb
ExtraTiC:BowLimb:182, Cyanite Bow Limb
ExtraTiC:BowLimb:183, Blutonium Bow Limb
ExtraTiC:BowLimb:184, Ludicrite Bow Limb
ExtraTiC:BowLimb:185, Bedrockium Bow Limb
ExtraTiC:BowLimb:189, Enderium Bow Limb
ExtraTiC:BowLimb:190, Signalum Bow Limb
ExtraTiC:BowLimb:191, Lumium Bow Limb
ExtraTiC:BowLimb:2000, Constantan Bow Limb
ExtraTiC:BowLimb:100, Angmallen Bow Limb
ExtraTiC:BowLimb:101, Damascus Steel Bow Limb
ExtraTiC:BowLimb:102, Hepatizon Bow Limb
ExtraTiC:BowLimb:103, Brass Bow Limb
ExtraTiC:BowLimb:104, Electrum Bow Limb
ExtraTiC:BowLimb:105, Platinum Bow Limb
ExtraTiC:BowLimb:106, Silver Bow Limb
ExtraTiC:BowLimb:107, Amordrine Bow Limb
ExtraTiC:BowLimb:108, Ceruclase Bow Limb
ExtraTiC:BowLimb:109, Ignatius Bow Limb
ExtraTiC:BowLimb:110, Inolashite Bow Limb
ExtraTiC:BowLimb:111, Kalendrite Bow Limb
ExtraTiC:BowLimb:112, Midasium Bow Limb
ExtraTiC:BowLimb:113, Sanguinite Bow Limb
ExtraTiC:BowLimb:114, Shadow Iron Bow Limb
ExtraTiC:BowLimb:115, Shadow Steel Bow Limb
ExtraTiC:BowLimb:116, Vulcanite Bow Limb
ExtraTiC:BowLimb:117, Vyroxeres Bow Limb
ExtraTiC:BowLimb:118, Adamantine Bow Limb
ExtraTiC:BowLimb:119, Astral Silver Bow Limb
ExtraTiC:BowLimb:120, Atlarus Bow Limb
ExtraTiC:BowLimb:121, Black Steel Bow Limb
ExtraTiC:BowLimb:122, Carmot Bow Limb
ExtraTiC:BowLimb:123, Celenegil Bow Limb
ExtraTiC:BowLimb:124, Deep Iron Bow Limb
ExtraTiC:BowLimb:125, Haderoth Bow Limb
ExtraTiC:BowLimb:126, Mithril Bow Limb
ExtraTiC:BowLimb:127, Orichalcum Bow Limb
ExtraTiC:CrossbowLimb:128, Oureclase Crossbow Limb
ExtraTiC:CrossbowLimb:129, Prometheum Crossbow Limb
ExtraTiC:CrossbowLimb:130, Quicksilver Crossbow Limb
ExtraTiC:CrossbowLimb:131, Tartarite Crossbow Limb
ExtraTiC:CrossbowLimb:132, Desichalkos Crossbow Limb
ExtraTiC:CrossbowLimb:133, Eximite Crossbow Limb
ExtraTiC:CrossbowLimb:143, Certus Quartz Crossbow Limb
ExtraTiC:CrossbowLimb:160, Fiery Crossbow Limb
ExtraTiC:CrossbowLimb:161, Ironwood Crossbow Limb
ExtraTiC:CrossbowLimb:162, KnightMetal Crossbow Limb
ExtraTiC:CrossbowLimb:163, Steelleaf Crossbow Limb
ExtraTiC:CrossbowLimb:164, Amethyst Crossbow Limb
ExtraTiC:CrossbowLimb:165, Peridot Crossbow Limb
ExtraTiC:CrossbowLimb:166, Ruby Crossbow Limb
ExtraTiC:CrossbowLimb:167, Sapphire Crossbow Limb
ExtraTiC:CrossbowLimb:170, Jade Crossbow Limb
ExtraTiC:CrossbowLimb:171, Dark Steel Crossbow Limb
ExtraTiC:CrossbowLimb:180, Glue Crossbow Limb
ExtraTiC:CrossbowLimb:181, Yellorium Crossbow Limb
ExtraTiC:CrossbowLimb:182, Cyanite Crossbow Limb
ExtraTiC:CrossbowLimb:183, Blutonium Crossbow Limb
ExtraTiC:CrossbowLimb:184, Ludicrite Crossbow Limb
ExtraTiC:CrossbowLimb:185, Bedrockium Crossbow Limb
ExtraTiC:CrossbowLimb:189, Enderium Crossbow Limb
ExtraTiC:CrossbowLimb:190, Signalum Crossbow Limb
ExtraTiC:CrossbowLimb:191, Lumium Crossbow Limb
ExtraTiC:CrossbowLimb:2000, Constantan Crossbow Limb
ExtraTiC:CrossbowLimb:100, Angmallen Crossbow Limb
ExtraTiC:CrossbowLimb:101, Damascus Steel Crossbow Limb
ExtraTiC:CrossbowLimb:102, Hepatizon Crossbow Limb
ExtraTiC:CrossbowLimb:103, Brass Crossbow Limb
ExtraTiC:CrossbowLimb:104, Electrum Crossbow Limb
ExtraTiC:CrossbowLimb:105, Platinum Crossbow Limb
ExtraTiC:CrossbowLimb:106, Silver Crossbow Limb
ExtraTiC:CrossbowLimb:107, Amordrine Crossbow Limb
ExtraTiC:CrossbowLimb:108, Ceruclase Crossbow Limb
ExtraTiC:CrossbowLimb:109, Ignatius Crossbow Limb
ExtraTiC:CrossbowLimb:110, Inolashite Crossbow Limb
ExtraTiC:CrossbowLimb:111, Kalendrite Crossbow Limb
ExtraTiC:CrossbowLimb:112, Midasium Crossbow Limb
ExtraTiC:CrossbowLimb:113, Sanguinite Crossbow Limb
ExtraTiC:CrossbowLimb:114, Shadow Iron Crossbow Limb
ExtraTiC:CrossbowLimb:115, Shadow Steel Crossbow Limb
ExtraTiC:CrossbowLimb:116, Vulcanite Crossbow Limb
ExtraTiC:CrossbowLimb:117, Vyroxeres Crossbow Limb
ExtraTiC:CrossbowLimb:118, Adamantine Crossbow Limb
ExtraTiC:CrossbowLimb:119, Astral Silver Crossbow Limb
ExtraTiC:CrossbowLimb:120, Atlarus Crossbow Limb
ExtraTiC:CrossbowLimb:121, Black Steel Crossbow Limb
ExtraTiC:CrossbowLimb:122, Carmot Crossbow Limb
ExtraTiC:CrossbowLimb:123, Celenegil Crossbow Limb
ExtraTiC:CrossbowLimb:124, Deep Iron Crossbow Limb
ExtraTiC:CrossbowLimb:125, Haderoth Crossbow Limb
ExtraTiC:CrossbowLimb:126, Mithril Crossbow Limb
ExtraTiC:CrossbowLimb:127, Orichalcum Crossbow Limb
ExtraTiC:CrossbowBody:128, Oureclase Crossbow Body
ExtraTiC:CrossbowBody:129, Prometheum Crossbow Body
ExtraTiC:CrossbowBody:130, Quicksilver Crossbow Body
ExtraTiC:CrossbowBody:131, Tartarite Crossbow Body
ExtraTiC:CrossbowBody:132, Desichalkos Crossbow Body
ExtraTiC:CrossbowBody:133, Eximite Crossbow Body
ExtraTiC:CrossbowBody:143, Certus Quartz Crossbow Body
ExtraTiC:CrossbowBody:160, Fiery Crossbow Body
ExtraTiC:CrossbowBody:161, Ironwood Crossbow Body
ExtraTiC:CrossbowBody:162, KnightMetal Crossbow Body
ExtraTiC:CrossbowBody:163, Steelleaf Crossbow Body
ExtraTiC:CrossbowBody:164, Amethyst Crossbow Body
ExtraTiC:CrossbowBody:165, Peridot Crossbow Body
ExtraTiC:CrossbowBody:166, Ruby Crossbow Body
ExtraTiC:CrossbowBody:167, Sapphire Crossbow Body
ExtraTiC:CrossbowBody:170, Jade Crossbow Body
ExtraTiC:CrossbowBody:171, Dark Steel Crossbow Body
ExtraTiC:CrossbowBody:180, Glue Crossbow Body
ExtraTiC:CrossbowBody:181, Yellorium Crossbow Body
ExtraTiC:CrossbowBody:182, Cyanite Crossbow Body
ExtraTiC:CrossbowBody:183, Blutonium Crossbow Body
ExtraTiC:CrossbowBody:184, Ludicrite Crossbow Body
ExtraTiC:CrossbowBody:185, Bedrockium Crossbow Body
ExtraTiC:CrossbowBody:189, Enderium Crossbow Body
ExtraTiC:CrossbowBody:190, Signalum Crossbow Body
ExtraTiC:CrossbowBody:191, Lumium Crossbow Body
ExtraTiC:CrossbowBody:2000, Constantan Crossbow Body
ExtraTiC:CrossbowBody:100, Angmallen Crossbow Body
ExtraTiC:CrossbowBody:101, Damascus Steel Crossbow Body
ExtraTiC:CrossbowBody:102, Hepatizon Crossbow Body
ExtraTiC:CrossbowBody:103, Brass Crossbow Body
ExtraTiC:CrossbowBody:104, Electrum Crossbow Body
ExtraTiC:CrossbowBody:105, Platinum Crossbow Body
ExtraTiC:CrossbowBody:106, Silver Crossbow Body
ExtraTiC:CrossbowBody:107, Amordrine Crossbow Body
ExtraTiC:CrossbowBody:108, Ceruclase Crossbow Body
ExtraTiC:CrossbowBody:109, Ignatius Crossbow Body
ExtraTiC:CrossbowBody:110, Inolashite Crossbow Body
ExtraTiC:CrossbowBody:111, Kalendrite Crossbow Body
ExtraTiC:CrossbowBody:112, Midasium Crossbow Body
ExtraTiC:CrossbowBody:113, Sanguinite Crossbow Body
ExtraTiC:CrossbowBody:114, Shadow Iron Crossbow Body
ExtraTiC:CrossbowBody:115, Shadow Steel Crossbow Body
ExtraTiC:CrossbowBody:116, Vulcanite Crossbow Body
ExtraTiC:CrossbowBody:117, Vyroxeres Crossbow Body
ExtraTiC:CrossbowBody:118, Adamantine Crossbow Body
ExtraTiC:CrossbowBody:119, Astral Silver Crossbow Body
ExtraTiC:CrossbowBody:120, Atlarus Crossbow Body
ExtraTiC:CrossbowBody:121, Black Steel Crossbow Body
ExtraTiC:CrossbowBody:122, Carmot Crossbow Body
ExtraTiC:CrossbowBody:123, Celenegil Crossbow Body
ExtraTiC:CrossbowBody:124, Deep Iron Crossbow Body
ExtraTiC:CrossbowBody:125, Haderoth Crossbow Body
ExtraTiC:CrossbowBody:126, Mithril Crossbow Body
ExtraTiC:CrossbowBody:127, Orichalcum Crossbow Body
ExtraTiC:Blot:128, Oureclase Bolt
ExtraTiC:Blot:129, Prometheum Bolt
ExtraTiC:Blot:130, Quicksilver Bolt
ExtraTiC:Blot:131, Tartarite Bolt
ExtraTiC:Blot:132, Desichalkos Bolt
ExtraTiC:Blot:133, Eximite Bolt
ExtraTiC:Blot:143, Certus Quartz Bolt
ExtraTiC:Blot:160, Fiery Bolt
ExtraTiC:Blot:161, Ironwood Bolt
ExtraTiC:Blot:162, KnightMetal Bolt
ExtraTiC:Blot:163, Steelleaf Bolt
ExtraTiC:Blot:164, Amethyst Bolt
ExtraTiC:Blot:165, Peridot Bolt
ExtraTiC:Blot:166, Ruby Bolt
ExtraTiC:Blot:167, Sapphire Bolt
ExtraTiC:Blot:170, Jade Bolt
ExtraTiC:Blot:171, Dark Steel Bolt
ExtraTiC:Blot:180, Glue Bolt
ExtraTiC:Blot:181, Yellorium Bolt
ExtraTiC:Blot:182, Cyanite Bolt
ExtraTiC:Blot:183, Blutonium Bolt
ExtraTiC:Blot:184, Ludicrite Bolt
ExtraTiC:Blot:185, Bedrockium Bolt
ExtraTiC:Blot:189, Enderium Bolt
ExtraTiC:Blot:190, Signalum Bolt
ExtraTiC:Blot:191, Lumium Bolt
ExtraTiC:Blot:2000, Constantan Bolt
ExtraTiC:Blot:100, Angmallen Bolt
ExtraTiC:Blot:101, Damascus Steel Bolt
ExtraTiC:Blot:102, Hepatizon Bolt
ExtraTiC:Blot:103, Brass Bolt
ExtraTiC:Blot:104, Electrum Bolt
ExtraTiC:Blot:105, Platinum Bolt
ExtraTiC:Blot:106, Silver Bolt
ExtraTiC:Blot:107, Amordrine Bolt
ExtraTiC:Blot:108, Ceruclase Bolt
ExtraTiC:Blot:109, Ignatius Bolt
ExtraTiC:Blot:110, Inolashite Bolt
ExtraTiC:Blot:111, Kalendrite Bolt
ExtraTiC:Blot:112, Midasium Bolt
ExtraTiC:Blot:113, Sanguinite Bolt
ExtraTiC:Blot:114, Shadow Iron Bolt
ExtraTiC:Blot:115, Shadow Steel Bolt
ExtraTiC:Blot:116, Vulcanite Bolt
ExtraTiC:Blot:117, Vyroxeres Bolt
ExtraTiC:Blot:118, Adamantine Bolt
ExtraTiC:Blot:119, Astral Silver Bolt
ExtraTiC:Blot:120, Atlarus Bolt
ExtraTiC:Blot:121, Black Steel Bolt
ExtraTiC:Blot:122, Carmot Bolt
ExtraTiC:Blot:123, Celenegil Bolt
ExtraTiC:Blot:124, Deep Iron Bolt
ExtraTiC:Blot:125, Haderoth Bolt
ExtraTiC:Blot:126, Mithril Bolt
ExtraTiC:Blot:127, Orichalcum Bolt
ExtraTiC:extra.bucket:17, Molten Blutonium Bucket
ExtraTiC:extra.bucket:5, Molten RedAurum Bucket
ExtraTiC:extra.bucket:10, Molten Zinc Bucket
ExtraTiC:extra.bucket:4, Molten Pokefennium Bucket
ExtraTiC:extra.bucket:9, Molten Dark Steel Bucket
ExtraTiC:extra.bucket:19, Molten Bedrockium Bucket
ExtraTiC:extra.bucket:36, Molten Constantan Bucket
ExtraTiC:extra.bucket:18, Molten Ludicrite Bucket
ExtraTiC:extra.bucket:1, Molten Fairy Bucket
ExtraTiC:extra.bucket:12, Molten Adamantine Bucket
ExtraTiC:extra.bucket:11, Molten Brass Bucket
FlatSigns:item.sponge.wipe, Sponge Wipe
fossil:bioFossil, Bio-Fossil
fossil:tar_fossil, Tar Fossil
fossil:relicScrap, Relic Scrap
fossil:stoneTablet, Stone Tablet
fossil:brokenAncientSword, Broken Ancient Sword
fossil:ancientSword, Ancient Sword
fossil:brokenAncientHelmet, Broken Ancient Helmet
fossil:ancientHelmet, Ancient Helmet
fossil:potteryShard, Pottery Shard
fossil:skullStick, Skull Stick
fossil:icedMeat, Frozen Meat
fossil:plantFossil, Plant Fossil
fossil:fossilSeed:0, Fossilized Dillhoffia Seeds
fossil:fossilSeed:1, Fossilized Sarracenia Seeds
fossil:fossilSeed:2, Fossilized Cephalotaxus Seeds
fossil:fossilSeed:3, Fossilized Lycopodiophyta Spores
fossil:fossilSeed:4, Fossilized Foozia Spores
fossil:fossilSeed:5, Fossilized Zamites Seeds
fossil:fossilSeed:6, Fossilized Bennettitales Seeds
fossil:fossilSeed:7, Fossilized Welwitschia Seeds
fossil:fossilSeed:8, Fossilized Horsetail Spores
fossil:fossilSeed:9, Fossilized Tempskya Spores
fossil:fossilSeed:10, Fossilized Vaccinium Seeds
fossil:fossilSeed:11, Fossilized Osmunda Spores
fossil:fossilSeed:12, Fossilized Crataegus Seeds
fossil:fossilSeed:13, Fossilized Florissantia Seeds
fossil:fossilSeed:14, Fossilized Ephedra Seeds
fossil:fossilSeed_fern, Fossilized Fern Spores
fossil:fossilSapling_palae, Petrified Palaeoraphe Sapling
fossil:seed:0, Dillhoffia Seeds
fossil:seed:1, Sarracenia Seeds
fossil:seed:2, Cephalotaxus Seeds
fossil:seed:3, Lycopodiophyta Spores
fossil:seed:4, Foozia Spores
fossil:seed:5, Zamites Seeds
fossil:seed:6, Bennettitales Seeds
fossil:seed:7, Welwitschia Seeds
fossil:seed:8, Horsetail Spores
fossil:seed:9, Tempskya Spores
fossil:seed:10, Vaccinium Seeds
fossil:seed:11, Osmunda Spores
fossil:seed:12, Crataegus Seeds
fossil:seed:13, Florissantia Seeds
fossil:seed:14, Ephedra Seeds
fossil:fernSeeds, Ancient Fern Spores
fossil:dinoPedia, DinoPedia
fossil:whip, Whip
fossil:failuresaurusFlesh, Failuresaurus Flesh
fossil:tar_bucket, Tar Bucket
fossil:tardrop, Tar Drop
fossil:emptyShell, Empty Shell
fossil:sJL, Sio-Chiu-Le
fossil:magicConch, Magic Conch
fossil:rawChickenSoup, Raw Chicken Soup
fossil:cookedChickenSoup, Cooked Chicken Soup
fossil:essenceofChicken, Essence of Chicken
fossil:cooked_egg, Cooked Egg
fossil:amber, Amber
fossil:DominicanAmber, Dominican Amber
fossil:scarabGem, Scarab Gem
fossil:scarabAxe, Scarab Axe
fossil:scarabPickAxe, Scarab PickAxe
fossil:scarabSword, Scarab Sword
fossil:scarabHoe, Scarab Hoe
fossil:scarabShovel, Scarab Shovel
fossil:AquaticScarabGem, Aquatic Scarab Gem
fossil:skullHelmet, Skull Helmet
fossil:ribCage, Rib Cage
fossil:shinGuards, Shin Guards
fossil:feet, Feet
fossil:ancientKey, Ancient Key
fossil:ancientClock, Ancient Clock
fossil:toothDagger, Tooth Dagger
fossil:woodJavelin, Wooden Javelin
fossil:stoneJavelin, Stone Javelin
fossil:ironJavelin, Iron Javelin
fossil:goldJavelin, Gold Javelin
fossil:diamondJavelin, Diamond Javelin
fossil:ancientJavelin, Ancient Javelin
fossil:toyBall:0, Black Ball
fossil:toyBall:1, Red Ball
fossil:toyBall:2, Green Ball
fossil:toyBall:3, Brown Ball
fossil:toyBall:4, Blue Ball
fossil:toyBall:5, Purple Ball
fossil:toyBall:6, Cyan Ball
fossil:toyBall:7, Light Gray Ball
fossil:toyBall:8, Gray Ball
fossil:toyBall:9, Pink Ball
fossil:toyBall:10, Lime Ball
fossil:toyBall:11, Yellow Ball
fossil:toyBall:12, Light Blue Ball
fossil:toyBall:13, Magenta Ball
fossil:toyBall:14, Orange Ball
fossil:toyBall:15, White Ball
fossil:toyTetheredLog, Tethered Log
fossil:toyScratchingPost, Scratching Post
fossil:record_bones, Fossil Record
fossil:record_bones_disc, Fossil Record
fossil:record_scarab, Fossil Record
fossil:record_discovery, Fossil Record
fossil:skull:0, Triceratops Skull
fossil:skull:1, Velociraptor Skull
fossil:skull:2, Tyrannosaurus Skull
fossil:skull:3, Pteranodon Skull
fossil:skull:4, Plesiosaurus Skull
fossil:skull:5, Mosasaurus Skull
fossil:skull:6, Stegosaurus Skull
fossil:skull:7, Dilophosaurus Skull
fossil:skull:8, Brachiosaurus Skull
fossil:skull:9, Spinosaurus Skull
fossil:skull:10, Compsognathus Skull
fossil:skull:11, Ankylosaurus Skull
fossil:skull:12, Pachycephalosaurus Skull
fossil:skull:13, Deinonychus Skull
fossil:skull:14, Gallimimus Skull
fossil:skull:15, Liopleurodon Skull
fossil:skull:16, Allosaurus Skull
fossil:skull:17, Sarcosuchus Skull
fossil:skull:18, Ceratosaurus Skull
fossil:skull:19, Dryosaurus Skull
fossil:skull:20, Therizinosaurus Skull
fossil:skull:21, Parasaurolophus Skull
fossil:skull:22, Confuciusornis Skull
fossil:skull:23, Ichthyosaurus Skull
fossil:skull:24, Henodus Skull
fossil:skull:25, Dodo Skull
fossil:skull:26, Gastornis Skull
fossil:skull:27, Kelenken Skull
fossil:skull:28, Phorusrhacos Skull
fossil:skull:29, Titanis Skull
fossil:skull:30, Mammoth Skull
fossil:skull:31, Smilodon Skull
fossil:skull:32, Quagga Skull
fossil:skull:33, Elasmotherium Skull
fossil:dinoRibCage:0, Triceratops Rib Cage
fossil:dinoRibCage:1, Velociraptor Rib Cage
fossil:dinoRibCage:2, Tyrannosaurus Rib Cage
fossil:dinoRibCage:3, Pteranodon Rib Cage
fossil:dinoRibCage:4, Plesiosaurus Rib Cage
fossil:dinoRibCage:5, Mosasaurus Rib Cage
fossil:dinoRibCage:6, Stegosaurus Rib Cage
fossil:dinoRibCage:7, Dilophosaurus Rib Cage
fossil:dinoRibCage:8, Brachiosaurus Rib Cage
fossil:dinoRibCage:9, Spinosaurus Rib Cage
fossil:dinoRibCage:10, Compsognathus Rib Cage
fossil:dinoRibCage:11, Ankylosaurus Rib Cage
fossil:dinoRibCage:12, Pachycephalosaurus Rib Cage
fossil:dinoRibCage:13, Deinonychus Rib Cage
fossil:dinoRibCage:14, Gallimimus Rib Cage
fossil:dinoRibCage:15, Liopleurodon Rib Cage
fossil:dinoRibCage:16, Allosaurus Rib Cage
fossil:dinoRibCage:17, Sarcosuchus Rib Cage
fossil:dinoRibCage:18, Ceratosaurus Rib Cage
fossil:dinoRibCage:19, Dryosaurus Rib Cage
fossil:dinoRibCage:20, Therizinosaurus Rib Cage
fossil:dinoRibCage:21, Parasaurolophus Rib Cage
fossil:dinoRibCage:22, Confuciusornis Rib Cage
fossil:dinoRibCage:23, Ichthyosaurus Rib Cage
fossil:dinoRibCage:24, Henodus Rib Cage
fossil:dinoRibCage:25, Dodo Rib Cage
fossil:dinoRibCage:26, Gastornis Rib Cage
fossil:dinoRibCage:27, Kelenken Rib Cage
fossil:dinoRibCage:28, Phorusrhacos Rib Cage
fossil:dinoRibCage:29, Titanis Rib Cage
fossil:dinoRibCage:30, Mammoth Rib Cage
fossil:dinoRibCage:31, Smilodon Rib Cage
